Entry,Entry name,geneid,genename
Q9JJS7,P2RY4_MOUSE,57385;,P2ry4
Q9CPV9,P2Y12_MOUSE,70839;,P2ry12
Q61194,P3C2A_MOUSE,18704;,Pik3c2a
O70167,P3C2G_MOUSE,18705;,Pik3c2g
Q8BG58,P4HTM_MOUSE,74443;,P4htm
Q3V0Y1,P4R3C_MOUSE,245511;,Ppp4r3c
Q922W5,P5CR1_MOUSE,209027;,Pycr1
Q4QQM4,P5I11_MOUSE,277414;,Trp53i11
P97391,PA2G5_MOUSE,18784;,Pla2g5
Q8CAS9,PARP9_MOUSE,80285;,Parp9
Q9EPC1,PARVA_MOUSE,57342;,Parva
P47239,PAX7_MOUSE,18509;,Pax7
Q9D0B6,PBDC1_MOUSE,67683;,Pbdc1
O35317,PBX3_MOUSE,18516;,Pbx3
Q3UHB1,NT5D3_MOUSE,103466;,Nt5dc3
Q8R2U4,NTM1A_MOUSE,66617;,Ntmt1
P15209,NTRK2_MOUSE,18212;,Ntrk2
Q6VNS1,NTRK3_MOUSE,18213;,Ntrk3
Q8CH40,NUDT6_MOUSE,229228;,Nudt6
Q9CR24,NUDT8_MOUSE,66387;,Nudt8
Q9QXX8,NUFP1_MOUSE,27275;,Nufip1
Q5F2E7,NUFP2_MOUSE,68564;,Nufip2
Q3V0C3,NUTM2_MOUSE,328250;,Nutm2
P97346,NXN_MOUSE,18230;,Nxn
Q8QZR4,OAF_MOUSE,102644;,Oaf
A2AAJ9,OBSCN_MOUSE,,Obscn
P50136,ODBA_MOUSE,,Bckdha
Q8VI88,ODFP4_MOUSE,252868;,Odf4
Q3V1G4,OLM2B_MOUSE,320078;,Olfml2b
P51879,ONCO_MOUSE,18261;,Ocm
Q6XBJ3,ONEC2_MOUSE,225631;,Onecut2
Q9CQZ0,ORML2_MOUSE,66844;,Ormdl2
Q9D8S4,ORN_MOUSE,104444;,Rexo2
Q8K2C7,OS9_MOUSE,216440;,Os9
P54615,OSTR_MOUSE,12095;,Bglap3
